Name,Kills,Deaths,K/D,Max kill streak,Kill(s) / minute,Death(s) / minute,Max death streak,Max TK streak,Death by TK,Death by TK Streak,(aprox.) Longest life min.,(aprox.) Shortest life secs.,Nemesis,Victim,Weapons,game_id
TheTriggerMan,71,39,1.82,17,0.8,0.44,6,5,0,0,11.00,0.00,HentaiDealer: 11,HentaiDealer: 6,"150MM HOWITZER [sFH 18]: 45, STG44: 14, MP40: 11, UNKNOWN: 1",http://144.126.151.248:8010/#/gamescoreboard/8051
dont fear the reaper,78,17,4.59,19,0.9,0.2,4,0,1,1,14.00,1.00,House: 2,Cesa: 6,"M1 GARAND: 48, M1918A2 BAR: 26, BAZOOKA: 3, MK2 GRENADE: 1",http://144.126.151.248:8010/#/gamescoreboard/8048
House,69,29,2.38,26,0.78,0.33,4,1,0,0,13.00,1.00,Catholic Juice: 4,Joseydanya: 6,"150MM HOWITZER [sFH 18]: 38, STG44: 17, MP40: 13, M43 STIELHANDGRANATE: 1",http://144.126.151.248:8010/#/gamescoreboard/8048
Semi-Competent,67,7,9.57,27,0.77,0.08,2,1,0,0,32.00,2.00,Detroit: 5,XiphosVolund: 5,"75MM CANNON [Sd.Kfz.171 Panther]: 25, COAXIAL MG34 [Sd.Kfz.171 Panther]: 12, 75MM CANNON [Sd.Kfz.161 Panzer IV]: 10, 88 KWK 36 L/56 [Sd.Kfz.181 Tiger 1]: 8, COAXIAL MG34 [Sd.Kfz.181 Tiger 1]: 5, 20MM KWK 30 [Sd.Kfz.121 Luchs]: 3, COAXIAL MG34 [Sd.Kfz.121 Luchs]: 3, TELLERMINE 43: 1",http://144.126.151.248:8010/#/gamescoreboard/8048
Elon's Musk,66,22,3,17,0.75,0.25,5,0,0,0,11.00,1.00,MoonHam: 3,[ESPT] 11thEnd: 6,"STG44: 64, M43 STIELHANDGRANATE: 2",http://144.126.151.248:8010/#/gamescoreboard/8048
Big Hurt,112,19,5.89,46,1.28,0.22,5,9,0,0,29.00,0.00,☢ SID (ABRIDOR DE LA: 6,DarkLight: 6,"150MM HOWITZER [sFH 18]: 102, MP40: 9, LUGER P08: 1",http://144.126.151.248:8010/#/gamescoreboard/8046
PolloLoco,84,29,2.9,21,1.25,0.43,9,0,1,1,9.00,1.00,-TL- Streets: 4,ebolaids: 9,"M1 GARAND: 73, M3 GREASE GUN: 11",http://144.126.151.248:8010/#/gamescoreboard/8046
SugarFive-Zero,71,44,1.61,18,0.81,0.5,8,0,2,1,7.00,0.00,Big Hurt: 4,ebolaids: 8,"M1 GARAND: 67, UNKNOWN: 2, MK2 GRENADE: 1, Opel Blitz (Transport): 1",http://144.126.151.248:8010/#/gamescoreboard/8046
Foxhound^,114,15,7.6,72,1.3,0.17,4,5,0,0,35.00,0.00,Rippert: 10,Brown Ninja Bacon: 7,"155MM HOWITZER [M114]: 109, M1918A2 BAR: 5",http://144.126.151.248:8010/#/gamescoreboard/8034
[ESPT]RA88ERS776,111,9,12.33,27,1.27,0.1,2,6,0,0,22.00,1.00,[ESPT] Onety One: 3,gammaluigi: 7,"75MM CANNON [Sd.Kfz.171 Panther]: 67, 50mm KwK 39/1 [Sd.Kfz.234 Puma]: 18, COAXIAL MG34 [Sd.Kfz.171 Panther]: 18, COAXIAL MG34 [Sd.Kfz.234 Puma]: 7, Sherman M4A3E2(76): 1",http://144.126.151.248:8010/#/gamescoreboard/8034
[ESPT] TheWhiz-,90,42,2.14,16,1.03,0.48,5,0,0,0,7.00,0.00,Three: 9,[ESPT] GrowlingDuck: 8,"M1 GARAND: 89, MK2 GRENADE: 1",http://144.126.151.248:8010/#/gamescoreboard/8034
[ESPT] GrowlingDuck,82,26,3.15,28,0.92,0.29,4,0,2,1,20.00,0.00,[ESPT] TheWhiz-: 8,Martubb: 5,"150MM HOWITZER [sFH 18]: 45, MP40: 30, M43 STIELHANDGRANATE: 4, SATCHEL: 1, UNKNOWN: 1, KARABINER 98K: 1",http://144.126.151.248:8010/#/gamescoreboard/8034
[OP] ♞ ¢yph3r,74,3,24.67,63,1.17,0.05,2,5,0,0,17.00,7.00,Suspicious Salsa: 2,NLBead: 5,"150MM HOWITZER [sFH 18]: 68, GEWEHR 43: 6",http://144.126.151.248:8010/#/gamescoreboard/8034
[ESPT] Kuhndog94,65,30,2.17,17,0.74,0.34,3,0,2,1,11.00,1.00,Tir0Loc0: 3,jimmy bigas: 5,"M1 GARAND: 61, MK2 GRENADE: 4",http://144.126.151.248:8010/#/gamescoreboard/8034
[ESPT] T_RAH,95,24,3.96,21,1.19,0.3,3,0,1,1,20.00,1.00,Jolfe: 3,[ESPT] JoeK: 6,"MG42: 55, STG44: 25, MP40: 7, SATCHEL: 5, UNKNOWN: 2, LUGER P08: 1",http://144.126.151.248:8010/#/gamescoreboard/8032
[ESPT] Valhalla,125,24,5.21,15,1.44,0.28,2,1,0,0,8.00,0.00,Coolman91: 2,Coolman91: 6,"FG42 x4: 124, S-MINE: 1",http://144.126.151.248:8010/#/gamescoreboard/8028
DriveBy,114,54,2.11,11,1.31,0.62,4,0,1,1,5.00,0.00,GreedyDuck: 5,Coolman91: 6,"STG44: 87, GEWEHR 43: 13, SATCHEL: 8, UNKNOWN: 3, M43 STIELHANDGRANATE: 3",http://144.126.151.248:8010/#/gamescoreboard/8028
[ESPT] HiSpeedHilly,102,41,2.49,9,1.17,0.47,3,1,1,1,5.00,0.00,Coolman91: 3,TheBeardedSavage: 7,"STG44: 27, FG42 x4: 26, MP40: 24, GEWEHR 43: 13, KARABINER 98K: 6, M43 STIELHANDGRANATE: 5, S-MINE: 1",http://144.126.151.248:8010/#/gamescoreboard/8028
