Name,Kills,Deaths,K/D,Max kill streak,Kill(s) / minute,Death(s) / minute,Max death streak,Max TK streak,Death by TK,Death by TK Streak,(aprox.) Longest life min.,(aprox.) Shortest life secs.,Nemesis,Victim,Weapons,game_id
[StDb]marsmyk,89,11,8.09,29,1.61,0.2,1,0,0,0,12.00,2.00,Kowal26_PL: 2,rafalg: 6,"MG42: 77, MP40: 4, STG44: 3, GEWEHR 43: 3, UNKNOWN: 1, M43 STIELHANDGRANATE: 1",http://178.18.254.195:8010/#/gamescoreboard/4005
Elvis Joni,71,7,10.14,50,1.08,0.11,2,2,1,1,9.00,0.00,benoss: 3,RaZoR: 5,"155MM HOWITZER [M114]: 55, M3 GREASE GUN: 16",http://178.18.254.195:8010/#/gamescoreboard/3977
GalaxhjälteN,72,19,3.79,21,0.94,0.25,4,0,0,0,11.00,1.00,S.S.O. | Majess: 4,Kappa2: 6,"FG42 x4: 53, KARABINER 98K x8: 16, S-MINE: 3",http://178.18.254.195:8010/#/gamescoreboard/3941
Sharpe,99,1,99,71,2.05,0.02,1,7,0,0,23.00,23.00,PershingPL: 1,Gumi ™: 6,"150MM HOWITZER [sFH 18]: 98, M1A1 AT MINE: 1",http://178.18.254.195:8010/#/gamescoreboard/3930
Absalom,68,3,22.67,66,1.22,0.05,2,5,0,0,9.00,1.00,M1NIO: 1,[2nd_Rngr]Kaito会と: 6,"150MM HOWITZER [sFH 18]: 66, KARABINER 98K: 2",http://178.18.254.195:8010/#/gamescoreboard/3928
S.S.O. | delete,72,26,2.77,22,0.82,0.3,3,0,0,0,14.00,0.00,Mezjasz: 3,kubunik466413: 7,"M1 GARAND: 64, BAZOOKA: 5, M1A1 THOMPSON: 2, M3 Half-track: 1",http://178.18.254.195:8010/#/gamescoreboard/3927
Drw,78,32,2.44,14,1.0,0.41,4,0,2,1,9.00,0.00,Piter: 3,ZeKusKus: 6,"M1 GARAND: 74, UNKNOWN: 2, MK2 GRENADE: 2",http://178.18.254.195:8010/#/gamescoreboard/3920
WaTaHa || AngryRemi,75,26,2.88,13,0.97,0.34,2,2,0,0,13.00,1.00,Benjatofi_19: 2,BAD BOY: 4,"MG42: 57, MP40: 9, SATCHEL: 4, GMC CCKW 353 (Transport): 3, S-MINE: 2",http://178.18.254.195:8010/#/gamescoreboard/3908
HLL.PL | karl,73,26,2.81,9,1.12,0.4,2,0,0,0,8.00,0.00,ANA: 4,GregMeister: 6,"M1918A2 BAR: 37, M1 GARAND: 30, M3 GREASE GUN: 3, UNKNOWN: 1, M1 CARBINE: 1, MK2 GRENADE: 1",http://178.18.254.195:8010/#/gamescoreboard/3908
Clauwert Klompvoet,73,13,5.62,17,1.1,0.2,1,1,1,1,9.00,1.00,^7*^9Sarrafo^7*: 2,HankStamper: 8,MG42: 73,http://178.18.254.195:8010/#/gamescoreboard/3883
