Name,Kills,Deaths,K/D,Max kill streak,Kill(s) / minute,Death(s) / minute,Max death streak,Max TK streak,Death by TK,Death by TK Streak,(aprox.) Longest life min.,(aprox.) Shortest life secs.,Nemesis,Victim,Weapons,game_id
(WTH) Sychxx,80,20,4,12,1.6,0.4,3,0,0,0,5.00,1.00,[FR]freyjaff9: 4,JDizzy2: 7,"GEWEHR 43: 75, UNKNOWN: 2, M43 STIELHANDGRANATE: 2, FELDSPATEN: 1",http://144.91.71.61:8040/#/gamescoreboard/14714
GAS,75,24,3.12,14,1.19,0.38,3,0,1,1,8.00,1.00,JLB: 3,TheDutch: 9,"GEWEHR 43: 73, UNKNOWN: 1, 150MM HOWITZER [sFH 18]: 1",http://144.91.71.61:8040/#/gamescoreboard/14697
passage of time,67,11,6.09,37,1.06,0.17,3,3,0,0,27.00,1.00,dogfish64: 6,G.stubby: 7,"150MM HOWITZER [sFH 18]: 55, MP40: 9, GEWEHR 43: 2, UNKNOWN: 1",http://144.91.71.61:8040/#/gamescoreboard/14697
Luxus,66,18,3.67,19,1.03,0.28,4,0,0,0,10.00,1.00,TheDutch: 3,BoH-PoH: 5,"STG44: 38, KARABINER 98K: 25, UNKNOWN: 1, FELDSPATEN: 1, M43 STIELHANDGRANATE: 1",http://144.91.71.61:8040/#/gamescoreboard/14697
(WTH) luk3n24,68,23,2.96,13,0.96,0.33,2,3,0,0,9.00,0.00,alexrainbowfrog: 3,Fireman5000: 5,"FG42: 29, MP40: 20, KARABINER 98K: 11, SATCHEL: 3, UNKNOWN: 2, GEWEHR 43: 2, FELDSPATEN: 1",http://144.91.71.61:8040/#/gamescoreboard/14694
[HLL ITA] KyuLegend,85,39,2.18,14,0.93,0.43,8,1,2,1,9.00,0.00,InfernoScourge: 5,Mausmat: 6,"M1 GARAND: 78, MK2 GRENADE: 7",http://144.91.71.61:8040/#/gamescoreboard/14690
[TR]Dragon,82,40,2.05,10,0.95,0.46,5,0,1,1,8.00,0.00,Bran-done: 5,Coopy: 6,"M1 GARAND: 71, M1A1 THOMPSON: 11",http://144.91.71.61:8040/#/gamescoreboard/14686
[Tr] 喀喇昆仑卫士-wen,73,4,18.25,58,2.14,0.12,1,3,1,1,16.00,1.00,「Captain Rex」: 2,Hengberg: 5,"155MM HOWITZER [M114]: 70, M1 GARAND: 2, M1A1 THOMPSON: 1",http://144.91.71.61:8040/#/gamescoreboard/14686
[DonD] LegendSniper,68,8,8.5,42,0.81,0.1,2,0,0,0,36.00,1.00,Cederoth: 2,Kapten Morgan: 5,"75MM CANNON [Sd.Kfz.171 Panther]: 34, 75MM CANNON [Sd.Kfz.161 Panzer IV]: 12, COAXIAL MG34 [Sd.Kfz.171 Panther]: 11, 20MM KWK 30 [Sd.Kfz.121 Luchs]: 6, COAXIAL MG34 [Sd.Kfz.161 Panzer IV]: 4, HULL MG34 [Sd.Kfz.161 Panzer IV]: 1",http://144.91.71.61:8040/#/gamescoreboard/14686
Cederoth,66,11,6,37,0.75,0.13,2,1,0,0,29.00,3.00,[DonD] LegendSniper: 5,WeeDuffer: 5,"75MM CANNON [Sherman M4A3(75)W]: 20, 37MM CANNON [Stuart M5A1]: 19, 75MM M3 GUN [Sherman M4A3E2]: 10, COAXIAL M1919 [Stuart M5A1]: 4, COAXIAL M1919 [Sherman M4A3E2]: 4, COAXIAL M1919 [Sherman M4A3(75)W]: 4, 76MM M1 GUN [Sherman M4A3E2(76)]: 3, COAXIAL M1919 [M8 Greyhound]: 2",http://144.91.71.61:8040/#/gamescoreboard/14686
