Name,Kills,Deaths,K/D,Max kill streak,Kill(s) / minute,Death(s) / minute,Max death streak,Max TK streak,Death by TK,Death by TK Streak,(aprox.) Longest life min.,(aprox.) Shortest life secs.,Nemesis,Victim,Weapons,game_id
K4z4mm,79,15,5.27,64,0.97,0.18,2,7,0,0,10.00,1.00,SHoWTimE: 3,masterchief5771: 6,"155MM HOWITZER [M114]: 64, M1918A2 BAR: 10, BROWNING M1919: 5",http://teamphx.dynv6.net:8010/#/gamescoreboard/699
SHoWTimE,73,35,2.09,10,0.89,0.43,3,0,0,0,7.00,1.00,Scorpi: 5,✠ Solid-Brain (Ger): 5,"GEWEHR 43: 70, UNKNOWN: 3",http://teamphx.dynv6.net:8010/#/gamescoreboard/699
phx.limit,72,25,2.88,13,0.88,0.31,3,0,0,0,9.00,1.00,phx.b0rni: 4,🅶 I|I Fenya: 9,"M1903 SPRINGFIELD: 71, COLT M1911: 1",http://teamphx.dynv6.net:8010/#/gamescoreboard/699
phx.b0rni,71,22,3.23,11,0.87,0.27,3,0,1,1,10.00,1.00,phx.B4ttl3frog: 5,phx.Bodinger: 6,"GEWEHR 43: 55, KARABINER 98K: 7, S-MINE: 4, M43 STIELHANDGRANATE: 3, MP40: 1, STG44: 1",http://teamphx.dynv6.net:8010/#/gamescoreboard/699
phx.LikeanOpa,66,15,4.4,31,0.81,0.18,2,0,0,0,35.00,1.00,🅶 I|I Fenya: 2,[42.] 61xtyOne: 18,M1903 SPRINGFIELD: 66,http://teamphx.dynv6.net:8010/#/gamescoreboard/699
Sachyto,148,12,12.33,112,2.46,0.2,3,0,0,0,29.00,0.00,Rakija: 3,TheOrangePotatoe: 16,"150MM HOWITZER [sFH 18]: 142, PANZERSCHRECK: 3, UNKNOWN: 1, M2 AP MINE: 1, KARABINER 98K: 1",http://teamphx.dynv6.net:8010/#/gamescoreboard/695
bangstrrr,67,3,22.33,56,0.85,0.04,2,0,0,0,40.00,6.00,Ope: 2,nomiS: 6,"76MM M1 GUN [Sherman M4A3E2(76)]: 43, COAXIAL M1919 [Sherman M4A3E2(76)]: 23, TELLERMINE 43: 1",http://teamphx.dynv6.net:8010/#/gamescoreboard/695
CoRe | Humpelpumpel,65,19,3.42,14,0.82,0.24,4,0,0,0,11.00,0.00,bangstrrr: 2,Balu768: 6,"MG42: 64, GMC CCKW 353 (Supply): 1",http://teamphx.dynv6.net:8010/#/gamescoreboard/695
Ivar,69,3,23,49,1.52,0.07,2,3,0,0,29.00,4.00,λλ | master/ Lino: 2,Ancient_Crusader: 4,"76MM M1 GUN [Sherman M4A3E2(76)]: 42, 75MM CANNON [Sherman M4A1]: 16, COAXIAL M1919 [Sherman M4A3E2(76)]: 7, COAXIAL M1919 [Sherman M4A1]: 4",http://teamphx.dynv6.net:8010/#/gamescoreboard/693
phx.Syro®,73,16,4.56,50,1.53,0.33,4,2,0,0,13.00,0.00,CoRe | WernerVos: 7,Undertaker: 6,"155MM HOWITZER [M114]: 67, M1 GARAND: 5, UNKNOWN: 1",http://teamphx.dynv6.net:8010/#/gamescoreboard/681
S. PRΞSSФ,72,2,36,43,1.15,0.03,1,1,0,0,16.00,14.00,phx.Bodinger: 1,Aeffel: 6,"150MM HOWITZER [sFH 18]: 38, BOMBING RUN: 31, GEWEHR 43: 2, STRAFING RUN: 1",http://teamphx.dynv6.net:8010/#/gamescoreboard/681
CoRe | Luckii.οne,85,13,6.54,32,1.79,0.27,2,0,0,0,11.00,1.00,CoRe | Scav: 4,Maggi Fix Für Smegma: 6,"GEWEHR 43: 84, M43 STIELHANDGRANATE: 1",http://teamphx.dynv6.net:8010/#/gamescoreboard/680
momo.kumomo,68,7,9.71,57,1.22,0.13,3,4,0,0,24.00,2.00,Fexei: 4,daPaddie: 7,"150MM HOWITZER [sFH 18]: 62, MP40: 3, GMC CCKW 353 (Supply): 2, M1A1 AT MINE: 1",http://teamphx.dynv6.net:8010/#/gamescoreboard/674
Max,100,7,14.29,69,2.9,0.2,2,0,0,0,11.00,1.00,Natürlich: 2,[Sir] MaxPower: 7,"M3 KNIFE: 62, M1 GARAND: 26, M1918A2 BAR: 12",http://teamphx.dynv6.net:8010/#/gamescoreboard/671
CoRe | Bulli,71,39,1.82,10,0.99,0.54,7,0,1,1,6.00,0.00,dopamin: 5,The_Hoernchen: 7,"GEWEHR 43: 70, UNKNOWN: 1",http://teamphx.dynv6.net:8010/#/gamescoreboard/671
drumking(Yoyo),69,37,1.86,11,0.79,0.43,6,1,0,0,9.00,0.00,Max: 7,[PDT] Mr.N0Aim: 5,"GEWEHR 43: 64, M43 STIELHANDGRANATE: 5",http://teamphx.dynv6.net:8010/#/gamescoreboard/671
CoRe | Humpelpumpel,69,27,2.56,10,1.21,0.47,4,0,0,0,7.00,0.00,TreXXaZz: 3,NASI793: 4,"GEWEHR 43: 65, UNKNOWN: 3, M43 STIELHANDGRANATE: 1",http://teamphx.dynv6.net:8010/#/gamescoreboard/671
Emćo|Crek™,74,11,6.73,23,1.25,0.19,2,0,0,0,9.00,1.00,Mr.White: 2,Dr.Brendel: 4,"MP40: 29, 150MM HOWITZER [sFH 18]: 20, KARABINER 98K: 10, SATCHEL: 8, PANZERSCHRECK: 6, M43 STIELHANDGRANATE: 1",http://teamphx.dynv6.net:8010/#/gamescoreboard/665
🅶 I|I Kay0z,69,9,7.67,36,1.19,0.15,3,6,0,0,12.00,1.00,JACK: 3,BEaERS: 6,"150MM HOWITZER [sFH 18]: 35, BOMBING RUN: 16, GEWEHR 43: 13, STRAFING RUN: 4, M1A1 AT MINE: 1",http://teamphx.dynv6.net:8010/#/gamescoreboard/665
phx.Maawlz,70,20,3.5,26,1.34,0.38,3,0,1,1,14.00,0.00,phx.b0rni: 5,Der Schredder: 5,"M1 GARAND: 68, M3 KNIFE: 1, MK2 GRENADE: 1",http://teamphx.dynv6.net:8010/#/gamescoreboard/652
|HTD| ЯedBuﾚﾚ,65,16,4.06,21,1.25,0.31,3,0,0,0,9.00,0.00,F4keblood: 3,Fox: 4,"STG44: 58, SATCHEL: 4, UNKNOWN: 2, M43 STIELHANDGRANATE: 1",http://teamphx.dynv6.net:8010/#/gamescoreboard/650
phx.KAISER Mtbb,105,39,2.69,9,1.28,0.47,2,0,1,1,8.00,0.00,phx.Fullback: 5,fynz: 7,"M1 GARAND: 96, MK2 GRENADE: 6, M3 KNIFE: 2, UNKNOWN: 1",http://teamphx.dynv6.net:8010/#/gamescoreboard/630
phx.Fullback,90,24,3.75,16,1.02,0.27,4,1,0,0,15.00,1.00,phx.KAISER Mtbb: 4,My name is nobody: 6,GEWEHR 43: 90,http://teamphx.dynv6.net:8010/#/gamescoreboard/630
fynz,80,36,2.22,10,0.88,0.4,4,0,1,1,8.00,1.00,phx.KAISER Mtbb: 7,Spectral: 5,"GEWEHR 43: 75, UNKNOWN: 2, KARABINER 98K: 2, M43 STIELHANDGRANATE: 1",http://teamphx.dynv6.net:8010/#/gamescoreboard/630
phx.Maawlz,76,23,3.3,15,1.13,0.34,2,0,0,0,9.00,1.00,phx.KAISER Mtbb: 4,Brintin: 8,"STG44: 74, FELDSPATEN: 1, M43 STIELHANDGRANATE: 1",http://teamphx.dynv6.net:8010/#/gamescoreboard/630
